"","ModelID","ID","GSM1169222","GSM1169223","GSM1169224","GSM1169225","GSM1169226","GSM1169227","GSM1169228","GSM1169229","GSM1169230","GSM1169231","GSM1169232","GSM1169233","GSM1169234","GSM1169235","GSM1169236","GSM1169237"
"452","'PCCGCIGL_06965'","Skluy_32.1.6:6",-0.165603996,-0.033780121,-0.212032719,-0.231503572,-0.114096357,0.132042275,-0.120171989,0.176191499,-0.87352603,-1.030416185,-0.858394314,-0.862884652,-0.020427311,-0.261999488,-0.29036527,-0.064633964
"453","'PCCGCIGL_06091'","Skluy_22.1.38:38",-0.300369466,-0.390688833,-0.353282076,-0.144173109,-0.008046463,-0.074656644,-0.188077726,-0.061632129,0.271283984,0.036093397,0.309330558,0.278008789,-0.298632686,-0.074226269,-0.025507445,-0.15421568
"454","'PCCGCIGL_02438'","Skluy_44.1.16:16",1.060352164,0.899606588,0.825839217,1.004364209,1.055458414,0.745268074,1.162355828,0.877778506,-0.247780217,-0.709050319,-0.32205428,-0.26354051,0.795914841,0.860353569,0.570481318,0.655875536
"455","'PCCGCIGL_00658'","Skluy_31.3.10:10",-0.425896285,-0.423190546,-0.423016416,-0.415525174,-0.370327399,-0.402262879,-0.313578617,-0.465956615,0.221635172,0.089464869,0.251070304,0.04284881,0.190656492,0.152027348,0.111075353,0.087980048
"456","'PCCGCIGL_05708'","Skluy_62.4.10:10",0.085489234,0.057449447,0.148750769,0.457805771,0.158889164,0.167482178,0.097104742,0.208084886,0.688403723,1.154768754,0.65730015,0.851239079,0.156822946,0.553062451,0.277127147,0.432567133
"457","'PCCGCIGL_01012'","Skluy_149.1.3:3",0.094120329,0.198088672,0.039153165,0.165686951,0.246854408,0.514246468,0.320065107,0.218926125,0.915838311,1.004623954,0.9473707,0.957025761,0.088774081,0.111636781,0.108789032,0.130833965
"458","'PCCGCIGL_05253'","Skluy_80.1.17:17",0.132122109,0.210940937,0.326056243,0.315416808,0.191395336,0.228345892,0.186165816,0.244792124,0.520675383,0.574762738,0.589713225,0.608786859,-0.183801448,-0.057805854,-0.064522269,-0.072284903
"459","'PCCGCIGL_05253'","Skluy_277.1.1:1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","'PCCGCIGL_07011'","Skluy_76.1.12:12",-0.049528089,0.133644258,0.123368804,0.144110088,0.195556644,-0.004811064,0.106900484,0.167906172,0.102011298,0.303359145,0.092621206,0.297639398,-0.192960951,-0.398665635,-0.097159804,-0.050660032
"461","'PCCGCIGL_05113'","Skluy_157.1.1:1",-0.407966828,-0.389284017,-0.457805782,-0.402325172,-0.460068444,-0.503547992,-0.432400645,-0.341545169,0.513485068,0.613803194,0.677512236,0.633967132,-0.034187949,0.132020937,-0.04057958,0.016991576
"462","'PCCGCIGL_07141'","Skluy_0.3.34:34",-0.104835811,-0.015092651,0.079894975,0.165931323,-0.246355947,-0.065271853,-0.133702816,-0.121825832,-0.416575472,-0.305887678,-0.410835359,-0.448950954,-0.257517031,-0.564958392,-0.202950291,-0.448551417
"463","'PCCGCIGL_07620'","Skluy_57.1.4:4",-0.514653893,-0.352873185,-0.458024819,-0.288652803,-0.218527479,-0.267773047,-0.075921763,-0.317746192,-0.7110974,-0.78548126,-0.817896172,-0.593763036,-0.291926163,-0.122698458,-0.139947873,-0.160942293
"464","'PCCGCIGL_04134'","Skluy_125.2.11:11",-0.181327437,-0.067205708,-0.121547117,-0.177899553,0.279215617,0.313367572,0.259163677,0.389041965,-0.65863704,-1.108264549,-1.431608108,0.426151752,-0.380073937,-0.135764406,-0.419030544,-0.060297112
"465","'PCCGCIGL_07679'","Skluy_100.1.8:8",-0.428362853,-0.191662427,-0.636597082,-0.446550348,-0.245058314,-0.363060985,-0.502279254,-0.620225694,0.83977655,0.791006708,1.059613446,0.873948306,1.064110231,1.182706729,1.0943833,1.089248785
"466","'PCCGCIGL_07679'","Skluy_44.1.7:7",0.345933934,0.472820318,0.61350798,0.71502023,0.501992463,0.607875908,0.527542279,0.563117836,1.108690721,1.25238112,1.191205445,1.250975076,-0.237504017,0.326476737,-0.027208564,0.247877647
"467","'PCCGCIGL_06175'","Skluy_77.2.1:1",0.504533429,0.781452984,0.586218652,0.721499858,0.581664952,0.519691304,0.516875988,0.548123744,0.929711066,1.407422653,1.317962175,0.886921977,-0.15966918,0.469430823,0.072511664,0.274764358
"468","'PCCGCIGL_06967'","Skluy_32.1.5:5",-1.392758193,-1.351635093,-1.252869677,-1.331677234,-0.918447368,-0.800578729,-0.736364542,-0.701890459,-1.003059056,-0.763842797,-0.876102029,-0.598068337,0.181111915,0.017798974,0.368289766,-0.030223384
"469","'PCCGCIGL_03114'","Skluy_55.2.14:14",-0.024004793,0.054591198,0.092033843,0.244273777,0.342282738,0.383728872,0.360646987,0.434423668,-0.04251357,0.0287117,-0.152154433,0.195198196,-0.360963376,-0.285878846,-0.228041156,-0.15855091
